file_name,url,file_size,modification_date,author,subject,keywords,creation_date,producer,number_of_pages,version,source
ceremonial_resolution_2_20_24.pdf,https://www.slc.gov/council/wp-content/uploads/sites/31/2024/02/ceremonial_resolution_2_20_24.pdf,230.8KB,2024-02-20 19:36:47-07:00,,,,2024-02-20 19:33:43-07:00,Adobe PSL 1.3e for Canon,2,%PDF-1.6,https://www.slc.gov/blog/2024/02/21/salt-lake-city-council-mayor-adopt-joint-resolution-for-peace/
Spanish-Mayor Mendenhall releases comprehensive Public Safety Plan,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2025/01/Spanish-Mayor-Mendenhall-releases-comprehensive-Public-Safety-Plan.pdf,77.4KB,2025-01-16 21:54:45+00:00,"Detrick, Ashley",,,2025-01-16 21:54:45+00:00,macOS Version 15.1 (Build 24B83) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2025/01/16/mayor-mendenhall-releases-comprehensive-public-safety-plan/
"Spanish- Salt Lake City announces artists selected to participate in citywide public art project, ‘Wake the Great Salt Lake’",http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/07/Spanish-Salt-Lake-City-announces-artists-selected-to-participate-in-citywide-public-art-project-‘Wake-the-Great-Salt-Lake.pdf,111.7KB,2024-07-16 19:19:02+00:00,"Detrick, Ashley",,,2024-07-16 19:19:02+00:00,macOS Version 14.5 (Build 23F79) Quartz PDFContext,4,%PDF-1.3,https://www.slc.gov/blog/2024/07/16/salt-lake-city-announces-artists-selected-to-participate-in-citywide-public-art-project-wake-the-great-salt-lake/
2021BUDGETSPEECH.pdf,http://www.slcdocs.com/mayor/2021BUDGETSPEECH.pdf,215.1KB,2021-05-05 01:25:41+00:00,,,,2021-05-05 01:25:41+00:00,,9,%PDF-1.7,https://www.slc.gov/blog/2021/05/04/mayor-announces-fy-21-22-budget-that-meets-critical-needs-fosters-opportunity/
Budget2122_ES.pdf,http://www.slcdocs.com/mayor/Budget2122_ES.pdf,155.6KB,2021-05-05 01:10:50+00:00,Renato Rios Gonzalez,,,2021-05-05 01:10:50+00:00,,10,%PDF-1.7,https://www.slc.gov/blog/2021/05/04/mayor-announces-fy-21-22-budget-that-meets-critical-needs-fosters-opportunity/
Mayor's Recommended Budget Book FY 2021-22,http://www.slcdocs.com/budget/mayor2022.pdf,9.4MB,2021-06-17 19:16:25+00:00,anonymous,,,2021-05-13 14:23:14+00:00,Wdesk Fidelity Content Translations Version 004.069.011,302,%PDF-1.6,https://www.slc.gov/blog/2021/05/04/mayor-announces-fy-21-22-budget-that-meets-critical-needs-fosters-opportunity/
Salt-Lake-City-Annual-Progress-Report-Card-1.pdf,http://www.slc.gov/wp-content/uploads/2021/01/Salt-Lake-City-Annual-Progress-Report-Card-1.pdf,144.6KB,,,,,,Skia/PDF m90,10,%PDF-1.5,https://www.slc.gov/reportcard/
Spanish_City Thread awards grant to Salt Lake City to improve transportation systems,http://www.slc.gov/wp-content/uploads/2024/09/Spanish_City-Thread-awards-grant-to-Salt-Lake-City-to-improve-transportation-systems.pdf,77.3KB,2024-09-13 19:06:56+00:00,"Detrick, Ashley",,,2024-09-13 19:06:56+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,3,%PDF-1.3,https://www.slc.gov/blog/2024/09/12/city-thread-awards-grant-to-salt-lake-city-to-improve-transportation-systems/
Microsoft Word - Press_Release_RDA_announcement 03012023 Spanish.docx,http://www.slc.gov/wp-content/uploads/2023/03/Spanish-RDA_announcement-03012023-Spanish.pdf,68.0KB,2023-03-02 17:01:14+00:00,,,,2023-03-02 17:01:14+00:00,macOS Version 12.4 (Build 21F79) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2023/02/28/rda-mixed-use-project-backed-by-15-5mm-in-city-funds-breaks-ground-on-former-north-temple-motel-site/
local-officials-bears-ears-amicus-brief.pdf,https://slcmayorblogdotcom.files.wordpress.com/2018/11/local-officials-bears-ears-amicus-brief.pdf,189.8KB,2018-11-19 14:09:19-05:00,Caroline Cox,,,2018-11-19 14:09:13-05:00,Adobe PDF Library 15.0,30,%PDF-1.5,https://www.slc.gov/blog/2018/11/19/utah-mayors-and-council-members-file-amicus-briefs-in-cases-challenging-trump-administration-action-on-bears-ears-and-grand-staircase-escalante-national-monuments/
local-officials-gse-amicus-brief.pdf,https://slcmayorblogdotcom.files.wordpress.com/2018/11/local-officials-gse-amicus-brief.pdf,238.6KB,2018-11-19 14:09:56-05:00,Caroline Cox,,,2018-11-19 14:09:50-05:00,Adobe PDF Library 15.0,31,%PDF-1.5,https://www.slc.gov/blog/2018/11/19/utah-mayors-and-council-members-file-amicus-briefs-in-cases-challenging-trump-administration-action-on-bears-ears-and-grand-staircase-escalante-national-monuments/
Spanish_Salt Lake City awarded $2.9M federal grant to make Redwood Road safer for residents,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/09/Spanish_Salt-Lake-City-awarded-2.9M-federal-grant-to-make-Redwood-Road-safer-for-residents.pdf,81.6KB,2024-09-06 22:47:23+00:00,"Detrick, Ashley",,,2024-09-06 22:47:23+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/09/06/salt-lake-city-awarded-2-9m-federal-grant-to-make-redwood-road-safer-for-residents/
Spanish_Mayor-Mendenhall-city-leaders-announce-three-concepts-in-Ballpark-Next-redevelopment-vision.pdf,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/12/Spanish_Mayor-Mendenhall-city-leaders-announce-three-concepts-in-Ballpark-Next-redevelopment-vision.pdf,74.2KB,2024-12-11 18:24:36+00:00,,,,2024-12-11 18:24:36+00:00,macOS Version 15.1 (Build 24B83) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/12/10/mayor-mendenhall-city-leaders-announce-three-concepts-in-ballpark-next-redevelopment-vision/
Spanish_Salt-Lake-City-updates-Sustainable-Infrastructure-Policy-as-new-projects-kick-off.pdf,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/10/Spanish_Salt-Lake-City-updates-Sustainable-Infrastructure-Policy-as-new-projects-kick-off.pdf,116.5KB,2024-10-07 21:27:20+00:00,,,,2024-10-07 21:27:20+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,3,%PDF-1.3,https://www.slc.gov/blog/2024/10/07/salt-lake-city-updates-sustainable-infrastructure-policy-as-new-projects-kick-off/
Microsoft Word - 11_Water Shortage Contingency Plan.doc,http://www.slcdocs.com/utilities/PDF%20Files/11_Water%20Shortage%20Contingency%20Plan.pdf,69.9KB,2009-03-23 13:30:28-06:00,E. Scott Swanson,,,2009-03-23 13:30:06-06:00,Acrobat Distiller 6.0 (Windows),14,%PDF-1.4,https://www.slc.gov/blog/2018/04/10/mayor-biskupski-will-initiate-first-stage-of-addressing-potential-water-shortage-a-call-for-salt-lake-city-agencies-residents-and-businesses-to-conserve/
Spanish_New pickleball courts unveiled in Salt Lake City's Rosewood Park following sewer improvements,http://www.slc.gov/mayor/wp-content/uploads/sites/51/2024/09/Spanish_New-pickleball-courts-unveiled-in-Salt-Lake-Citys-Rosewood-Park-following-sewer-improvements.pdf,92.3KB,2024-09-05 20:53:45+00:00,"Detrick, Ashley",,,2024-09-05 20:53:45+00:00,macOS Version 14.6.1 (Build 23G93) Quartz PDFContext,2,%PDF-1.3,https://www.slc.gov/blog/2024/09/05/new-pickleball-courts-unveiled-in-salt-lake-citys-rosewood-park-following-sewer-improvements/
